     1     -1.28077641
     2     -1.23510617
     3     -1.23222967
     4     -1.22746258
     5     -1.22083793
     6     -1.21239184
     7     -1.20215993
     8     -1.19017620
     9     -1.17647328
    10     -1.16108325
    11     -1.14403851
    12     -1.12537253
    13     -1.10512050
    14     -1.08331977
    15     -1.06001023
    16     -1.03523468
    17     -1.00903904
    18     -0.98147262
    19     -0.95258842
    20     -0.92244332
    21     -0.89109840
    22     -0.85861920
    23     -0.82507611
    24     -0.79054469
    25     -0.75510613
    26     -0.71884767
    27     -0.68186321
    28     -0.64425386
    29     -0.60612863
    30     -0.56760518
    31     -0.52881065
    32     -0.48988261
    33     -0.45096994
    34     -0.41223394
    35     -0.37384933
    36     -0.33600524
    37     -0.29890612
    38     -0.26277235
    39     -0.22784063
    40     -0.19436359
    41     -0.16260885
    42     -0.13285678
    43     -0.10539707
    44     -0.08052357
    45     -0.05852740
    46     -0.03968824
    47     -0.02426409
    48     -0.01248011
    49     -0.00451746
    50     -0.00050333
    51      0.78077641
    52      2.00199112
    53      2.00793247
    54      2.01772996
    55      2.03123299
    56      2.04824278
    57      2.06852256
    58      2.09180834
    59      2.11781922
    60      2.14626671
    61      2.17686237
    62      2.20932385
    63      2.24337915
    64      2.27876960
    65      2.31525148
    66      2.35259680
    67      2.39059339
    68      2.42904447
    69      2.46776797
    70      2.50659562
    71      2.54537200
    72      2.58395350
    73      2.62220740
    74      2.66001093
    75      2.69725038
    76      2.73382039
    77      2.76962317
    78      2.80456791
    79      2.83857021
    80      2.87155159
    81      2.90343904
    82      2.93416464
    83      2.96366521
    84      2.99188205
    85      3.01876065
    86      3.04425048
    87      3.06830480
    88      3.09088049
    89      3.11193788
    90      3.13144067
    91      3.14935578
    92      3.16565328
    93      3.18030628
    94      3.19329091
    95      3.20458622
    96      3.21417414
    97      3.22203944
    98      3.22816973
    99      3.23255536
   100      3.23518948
